year,month,island,Rec Visitors Ashore,Overnight Stays,Rec Overnight Boats,Rec Visitors on Boats,date
1996,7,Anacapa,2469,160,NA,NA,1996-07-01
1996,7,Santa Barbara,376,140,NA,NA,1996-07-01
1996,7,San Miguel,188,82,NA,NA,1996-07-01
1996,7,Santa Cruz,1528,280,NA,NA,1996-07-01
1996,7,Isthmus,0,0,NA,NA,1996-07-01
1996,7,Santa Rosa,599,343,NA,NA,1996-07-01
1996,8,Anacapa,2189,234,NA,NA,1996-08-01
1996,8,Santa Barbara,363,154,NA,NA,1996-08-01
1996,8,San Miguel,162,16,NA,NA,1996-08-01
1996,8,Santa Cruz,1360,370,NA,NA,1996-08-01
1996,8,Isthmus,0,0,NA,NA,1996-08-01
1996,8,Santa Rosa,755,560,NA,NA,1996-08-01
1996,9,Anacapa,1383,106,NA,NA,1996-09-01
1996,9,Santa Barbara,110,37,NA,NA,1996-09-01
1996,9,San Miguel,180,30,NA,NA,1996-09-01
1996,9,Santa Cruz,1060,264,NA,NA,1996-09-01
1996,9,Isthmus,0,0,NA,NA,1996-09-01
1996,9,Santa Rosa,223,115,NA,NA,1996-09-01
1996,10,Anacapa,696,62,NA,NA,1996-10-01
1996,10,Santa Barbara,105,30,NA,NA,1996-10-01
1996,10,San Miguel,81,68,NA,NA,1996-10-01
1996,10,Santa Cruz,721,276,NA,NA,1996-10-01
1996,10,Isthmus,0,0,NA,NA,1996-10-01
1996,10,Santa Rosa,251,194,NA,NA,1996-10-01
1996,11,Anacapa,580,70,NA,NA,1996-11-01
1996,11,Santa Barbara,22,0,NA,NA,1996-11-01
1996,11,San Miguel,62,0,NA,NA,1996-11-01
1996,11,Santa Cruz,749,230,NA,NA,1996-11-01
1996,11,Isthmus,0,0,NA,NA,1996-11-01
1996,11,Santa Rosa,235,140,NA,NA,1996-11-01
1996,12,Anacapa,495,13,NA,NA,1996-12-01
1996,12,Santa Barbara,0,0,NA,NA,1996-12-01
1996,12,San Miguel,0,0,NA,NA,1996-12-01
1996,12,Santa Cruz,358,186,NA,NA,1996-12-01
1996,12,Isthmus,0,0,NA,NA,1996-12-01
1996,12,Santa Rosa,0,0,NA,NA,1996-12-01
1997,1,Anacapa,673,33,NA,NA,1997-01-01
1997,1,Santa Barbara,8,0,NA,NA,1997-01-01
1997,1,San Miguel,0,0,NA,NA,1997-01-01
1997,1,Santa Cruz,529,148,NA,NA,1997-01-01
1997,1,Isthmus,0,0,NA,NA,1997-01-01
1997,1,Santa Rosa,10,0,NA,NA,1997-01-01
1997,2,Anacapa,824,5,NA,NA,1997-02-01
1997,2,Santa Barbara,0,0,NA,NA,1997-02-01
1997,2,San Miguel,0,0,NA,NA,1997-02-01
1997,2,Santa Cruz,960,180,NA,NA,1997-02-01
1997,2,Isthmus,0,0,NA,NA,1997-02-01
1997,2,Santa Rosa,44,0,NA,NA,1997-02-01
1997,3,Anacapa,2231,158,NA,NA,1997-03-01
1997,3,Santa Barbara,49,0,NA,NA,1997-03-01
1997,3,San Miguel,0,0,NA,NA,1997-03-01
1997,3,Santa Cruz,1112,572,NA,NA,1997-03-01
1997,3,Isthmus,0,0,NA,NA,1997-03-01
1997,3,Santa Rosa,91,32,NA,NA,1997-03-01
1997,4,Anacapa,1587,44,NA,NA,1997-04-01
1997,4,Santa Barbara,93,134,NA,NA,1997-04-01
1997,4,San Miguel,62,27,NA,NA,1997-04-01
1997,4,Santa Cruz,1008,293,NA,NA,1997-04-01
1997,4,Isthmus,0,0,NA,NA,1997-04-01
1997,4,Santa Rosa,189,79,NA,NA,1997-04-01
1997,5,Anacapa,2145,98,NA,NA,1997-05-01
1997,5,Santa Barbara,88,15,NA,NA,1997-05-01
1997,5,San Miguel,156,45,NA,NA,1997-05-01
1997,5,Santa Cruz,2072,675,NA,NA,1997-05-01
1997,5,Isthmus,0,0,NA,NA,1997-05-01
1997,5,Santa Rosa,323,231,NA,NA,1997-05-01
1997,6,Anacapa,1367,118,NA,NA,1997-06-01
1997,6,Santa Barbara,183,124,NA,NA,1997-06-01
1997,6,San Miguel,82,22,NA,NA,1997-06-01
1997,6,Santa Cruz,1321,575,NA,NA,1997-06-01
1997,6,Isthmus,0,0,NA,NA,1997-06-01
1997,6,Santa Rosa,102,20,NA,NA,1997-06-01
1997,7,Anacapa,2300,136,NA,NA,1997-07-01
1997,7,Santa Barbara,192,42,NA,NA,1997-07-01
1997,7,San Miguel,128,46,NA,NA,1997-07-01
1997,7,Santa Cruz,2405,968,NA,NA,1997-07-01
1997,7,Isthmus,0,0,NA,NA,1997-07-01
1997,7,Santa Rosa,261,180,NA,NA,1997-07-01
1997,8,Anacapa,2714,194,NA,NA,1997-08-01
1997,8,Santa Barbara,96,45,NA,NA,1997-08-01
1997,8,San Miguel,169,60,NA,NA,1997-08-01
1997,8,Santa Cruz,2520,1248,NA,NA,1997-08-01
1997,8,Isthmus,0,0,NA,NA,1997-08-01
1997,8,Santa Rosa,480,257,NA,NA,1997-08-01
1997,9,Anacapa,1153,114,NA,NA,1997-09-01
1997,9,Santa Barbara,0,0,NA,NA,1997-09-01
1997,9,San Miguel,147,15,NA,NA,1997-09-01
1997,9,Santa Cruz,1971,880,NA,NA,1997-09-01
1997,9,Isthmus,0,0,NA,NA,1997-09-01
1997,9,Santa Rosa,275,74,NA,NA,1997-09-01
1997,10,Anacapa,558,82,NA,NA,1997-10-01
1997,10,Santa Barbara,0,0,NA,NA,1997-10-01
1997,10,San Miguel,55,12,NA,NA,1997-10-01
1997,10,Santa Cruz,1150,620,NA,NA,1997-10-01
1997,10,Isthmus,0,0,NA,NA,1997-10-01
1997,10,Santa Rosa,335,205,NA,NA,1997-10-01
1997,11,Anacapa,608,27,NA,NA,1997-11-01
1997,11,Santa Barbara,0,0,NA,NA,1997-11-01
1997,11,San Miguel,0,8,NA,NA,1997-11-01
1997,11,Santa Cruz,914,401,NA,NA,1997-11-01
1997,11,Isthmus,0,0,NA,NA,1997-11-01
1997,11,Santa Rosa,42,16,NA,NA,1997-11-01
1997,12,Anacapa,312,14,NA,NA,1997-12-01
1997,12,Santa Barbara,0,0,NA,NA,1997-12-01
1997,12,San Miguel,0,0,NA,NA,1997-12-01
1997,12,Santa Cruz,220,15,NA,NA,1997-12-01
1997,12,Isthmus,0,0,NA,NA,1997-12-01
1997,12,Santa Rosa,0,0,NA,NA,1997-12-01
1998,1,Anacapa,547,4,NA,NA,1998-01-01
1998,1,Santa Barbara,4,0,NA,NA,1998-01-01
1998,1,San Miguel,0,0,NA,NA,1998-01-01
1998,1,Santa Cruz,241,0,NA,NA,1998-01-01
1998,1,Isthmus,0,0,NA,NA,1998-01-01
1998,1,Santa Rosa,0,0,NA,NA,1998-01-01
1998,2,Anacapa,339,1,NA,NA,1998-02-01
