year,island,Overnight Stays,Rec Visitors Ashore,Rec Overnight Boats,Rec Visitors on Boats
2019,Santa Rosa,3445,5703,1456,9373
2020,Anacapa,1386,4093,1400,38286
2020,Isthmus,962,22579,NA,NA
2020,San Miguel,936,1281,979,4453
2020,Santa Barbara,0,145,2416,20226
2020,Santa Cruz,116,815,3766,7424
2020,Santa Rosa,4770,8520,1456,9509
2021,Anacapa,358,3308,1400,44472
2021,Isthmus,1025,6627,NA,NA
2021,San Miguel,735,822,979,7092
2021,Santa Barbara,0,67,2416,20491
2021,Santa Cruz,18337,56335,3766,26569
2021,Santa Rosa,3405,7300,1456,13841
2022,Anacapa,56,820,1400,9703
2022,Isthmus,2310,9420,NA,NA
2022,San Miguel,775,1392,979,7103
2022,Santa Barbara,0,168,2416,20948
2022,Santa Cruz,20450,74345,3766,8854
2022,Santa Rosa,3942,9914,1456,28197
2023,Anacapa,589,4221,1400,38998
2023,Isthmus,1210,7822,NA,NA
2023,San Miguel,583,671,979,3500
2023,Santa Barbara,0,0,2416,0
2023,Santa Cruz,16449,62288,3766,12868
2023,Santa Rosa,4288,8074,1456,18371
2024,Anacapa,1460,5255,1400,2424
2024,Isthmus,2950,5242,NA,NA
2024,San Miguel,0,72,979,270
2024,Santa Barbara,0,0,2416,0
2024,Santa Cruz,39138,56656,3766,8101
2024,Santa Rosa,8675,4991,1456,5864
2025,Anacapa,1661,7285,1400,483
2025,Isthmus,3070,3299,NA,NA
2025,San Miguel,766,226,979,773
2025,Santa Barbara,94,110,2416,0
2025,Santa Cruz,40321,73250,3766,1997
2025,Santa Rosa,8758,6069,1456,1000
