park,year,month,statistic,value,stat1,stat2,stat_desc
CHIS,2011,5,TRV,20563,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,5,TNRV,828,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,5,TV,21391,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,5,TRVH,110409,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,5,TH,130281,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,5,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,5,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,5,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,5,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,5,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,5,BC,1244,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,5,MISC,491,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,5,NROS,639,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,5,TOS,2374,Total Stays,total_stays,Total Overnight Stays
CHIS,2011,5,TNRVH,19872,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2011,6,TRV,27136,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,6,TNRV,1407,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,6,TV,28543,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,6,TRVH,180023,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,6,TH,213791,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,6,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,6,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,6,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,6,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,6,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,6,BC,1780,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,6,MISC,3362,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,6,NROS,941,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,6,TOS,6083,Total Stays,total_stays,Total Overnight Stays
CHIS,2011,6,TNRVH,33768,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2011,7,TRV,38637,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,7,TNRV,1045,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,7,TV,39682,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,7,TRVH,344675,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,7,TH,369755,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,7,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,7,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,7,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,7,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,7,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,7,BC,3166,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,7,MISC,6390,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,7,NROS,1521,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,7,TOS,11077,Total Stays,total_stays,Total Overnight Stays
CHIS,2011,7,TNRVH,25080,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2011,8,TRV,30872,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,8,TNRV,705,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,8,TV,31577,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,8,TRVH,297918,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,8,TH,314838,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,8,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,8,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,8,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,8,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,8,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,8,BC,3519,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,8,MISC,5594,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,8,NROS,797,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,8,TOS,9910,Total Stays,total_stays,Total Overnight Stays
CHIS,2011,8,TNRVH,16920,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2011,9,TRV,21264,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,9,TNRV,1216,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,9,TV,22480,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,9,TRVH,172907,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,9,TH,202091,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,9,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,9,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,9,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,9,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,9,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,9,BC,3158,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,9,MISC,3866,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,9,NROS,900,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,9,TOS,7924,Total Stays,total_stays,Total Overnight Stays
CHIS,2011,9,TNRVH,29184,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2011,10,TRV,19337,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,10,TNRV,801,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,10,TV,20138,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,10,TRVH,163704,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,10,TH,182928,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,10,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,10,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,10,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,10,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,10,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,10,BC,3216,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,10,MISC,3512,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,10,NROS,1431,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,10,TOS,8159,Total Stays,total_stays,Total Overnight Stays
CHIS,2011,10,TNRVH,19224,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2011,11,TRV,11667,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,11,TNRV,224,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,11,TV,11891,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,11,TRVH,45410,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,11,TH,50786,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,11,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,11,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,11,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,11,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,11,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,11,BC,811,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,11,MISC,1049,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,11,NROS,509,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,11,TOS,2369,Total Stays,total_stays,Total Overnight Stays
CHIS,2011,11,TNRVH,5376,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2011,12,TRV,12182,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2011,12,TNRV,385,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2011,12,TV,12567,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2011,12,TRVH,51605,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2011,12,TH,60845,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2011,12,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2011,12,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2011,12,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2011,12,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2011,12,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2011,12,BC,1128,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2011,12,MISC,601,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2011,12,NROS,725,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2011,12,TOS,2454,Total Stays,total_stays,Total Overnight Stays
CHIS,2011,12,TNRVH,9240,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2002,1,TRV,36653,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2002,1,TNRV,1367,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2002,1,TV,38020,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2002,1,TRVH,277962,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2002,1,TH,310770,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2002,1,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2002,1,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2002,1,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2002,1,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2002,1,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2002,1,BC,144,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2002,1,MISC,4122,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2002,1,NROS,2903,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2002,1,TOS,7169,Total Stays,total_stays,Total Overnight Stays
CHIS,2002,1,TNRVH,32808,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2002,2,TRV,39572,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2002,2,TNRV,1631,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2002,2,TV,41203,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2002,2,TRVH,336347,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2002,2,TH,375491,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2002,2,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2002,2,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2002,2,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2002,2,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2002,2,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2002,2,BC,89,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2002,2,MISC,2336,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2002,2,NROS,4023,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2002,2,TOS,6448,Total Stays,total_stays,Total Overnight Stays
CHIS,2002,2,TNRVH,39144,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2002,3,TRV,53729,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2002,3,TNRV,1375,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2002,3,TV,55104,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2002,3,TRVH,651911,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2002,3,TH,684911,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2002,3,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2002,3,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2002,3,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2002,3,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2002,3,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2002,3,BC,424,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2002,3,MISC,3578,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2002,3,NROS,3542,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2002,3,TOS,7544,Total Stays,total_stays,Total Overnight Stays
CHIS,2002,3,TNRVH,33000,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2002,4,TRV,68305,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2002,4,TNRV,2070,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2002,4,TV,70375,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2002,4,TRVH,894506,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2002,4,TH,944186,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2002,4,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2002,4,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2002,4,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2002,4,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2002,4,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2002,4,BC,969,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2002,4,MISC,5652,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2002,4,NROS,4923,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2002,4,TOS,11544,Total Stays,total_stays,Total Overnight Stays
CHIS,2002,4,TNRVH,49680,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2002,5,TRV,73469,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2002,5,TNRV,2511,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
CHIS,2002,5,TV,75980,Total Visits,total_visits,Total Visits (Recreation + Non-Recreation)
CHIS,2002,5,TRVH,1008515,Rec Hrs,rec_hrs,Total Recreation Visitor Hours
CHIS,2002,5,TH,1068779,Total Hrs,total_hrs,Total Hours (Recreation + Non-Recreation)
CHIS,2002,5,CL,0,Conc Lodging,conc_lodging,Concessioner Lodging Overnight Stays
CHIS,2002,5,CCG,0,Conc Camp,conc_camp,Concessioner Campground Overnight Stays
CHIS,2002,5,TT,0,Tent Camp,tent_camp,Tent Camping Overnight Stays (NPS)
CHIS,2002,5,TRVS,0,Rec Stays,rec_stays,Total Recreation Overnight Stays
CHIS,2002,5,TTRV,0,Tent & RV,tent_rv,Total Tent and RV Camping Stays
CHIS,2002,5,BC,2013,Backcountry,backcountry,Backcountry Camping Overnight Stays
CHIS,2002,5,MISC,9392,Misc Stays,misc_stays,Miscellaneous Overnight Stays
CHIS,2002,5,NROS,8798,Non-Rec Stays,non_rec_stays,Non-Recreation Overnight Stays
CHIS,2002,5,TOS,20203,Total Stays,total_stays,Total Overnight Stays
CHIS,2002,5,TNRVH,60264,Non-Rec Hrs,non_rec_hrs,Total Non-Recreation Visitor Hours
CHIS,2002,6,TRV,56850,Rec Visits,rec_visits,Total Recreation Visits
CHIS,2002,6,TNRV,1520,Non-Rec Visits,non_rec_visits,Total Non-Recreation Visits
